	stem	count	lyric_count	p_english	p_lyrics	cliche
299	behalf	5727.0	1.0	1.73652894644e-05	2.13760827627e-08	-6.69995596535
300	behav	7546.0	583.0	2.28808231706e-05	1.24622562507e-05	-0.607594567128
301	behavior	70945.0	1.0	0.00021511794326	2.13760827627e-08	-9.2166690609
302	behind	112394.0	19250.0	0.000340798733029	0.000411489593182	0.188491652528
303	belief	28844.0	1428.0	8.7460172745e-05	3.05250461852e-05	-1.05263598809
304	believ	178397.0	45724.0	0.000540931647386	0.000977400008243	0.591603067348
305	bell	12421.0	7080.0	3.76626960777e-05	0.00015134266596	1.39087646619
306	belli	7784.0	1354.0	2.36024817864e-05	2.89432160607e-05	0.203983976652
307	belong	21856.0	7876.0	6.62713054887e-05	0.000168358027839	0.932335824434
308	below	45118.0	3648.0	0.000136805854733	7.79799499184e-05	-0.562111060708
309	belt	13826.0	639.0	4.1922907654e-05	1.36593168854e-05	-1.12141055508
310	bench	11666.0	1.0	3.5373400889e-05	2.13760827627e-08	-7.41144276027
311	bend	16285.0	3498.0	4.93790359573e-05	7.4773537504e-05	0.414938084914
312	beneath	19047.0	4338.0	5.77539145151e-05	9.27294470247e-05	0.473494950594
313	benefit	64018.0	1.0	0.000194114038926	2.13760827627e-08	-9.11392842575
314	besid	36687.0	4547.0	0.000111241553096	9.71970483221e-05	-0.134963646987
315	best	164809.0	21044.0	0.000499730398347	0.000449838285659	-0.10518059672
316	bet	17880.0	5045.0	5.42153615546e-05	0.000107842337538	0.687706031106
317	better	162229.0	42362.0	0.000491907376378	0.000905533617994	0.610233963702
318	between	264158.0	11145.0	0.000800974355567	0.000238236442391	-1.21256529509
319	beyond	55778.0	5773.0	0.000169128883489	0.000123404125789	-0.315196503287
320	bia	7388.0	1.0	2.24017388795e-05	2.13760827627e-08	-6.95462119427
321	bibl	11539.0	1.0	3.49883141487e-05	2.13760827627e-08	-7.40049673415
322	bicycl	5960.0	1.0	1.80717871849e-05	2.13760827627e-08	-6.73983461301
323	bid	6954.0	773.0	2.10857731684e-05	1.65237119756e-05	-0.243802116934
324	big	227169.0	24708.0	0.000688817084396	0.000528160252901	-0.265576008996
325	bike	17306.0	802.0	5.24748907754e-05	1.71436183757e-05	-1.11870878625
326	bill	49011.0	3404.0	0.000148610127805	7.27641857243e-05	-0.714102404955
327	billion	65243.0	564.0	0.000197828458272	1.20561106782e-05	-2.79782864119
328	bind	13109.0	1010.0	3.97488352695e-05	2.15898435903e-05	-0.610357539317
329	biographi	5015.0	1.0	1.52063779752e-05	2.13760827627e-08	-6.56719755335
330	biolog	19567.0	1.0	5.93306476252e-05	2.13760827627e-08	-7.92860860573
331	bird	34835.0	7147.0	0.000105625957481	0.000152774863505	0.369061206802
332	birth	24515.0	2040.0	7.43338696035e-05	4.36072088359e-05	-0.533344220201
333	birthday	13757.0	1278.0	4.1713687299e-05	2.73186337708e-05	-0.423260282478
